id,practice_test,type,domain,skill,topic,sub_topic,question_number,difficulty,figure_description,image,equation,svg,tabular_data,question_content,answer_explanation,correct_answer,choices
133,pt4,Reading and Writing,Expression of Ideas,Transitions,Expression of Ideas,Transitions,38,Easy,,,,,,"Chimamanda Ngozi Adichie’s 2013 novel Americanah chronicles the divergent experiences of Ifemelu and Obinze, a young Nigerian couple, after high school. Ifemelu moves to the United States to attend a prestigious university. ______ Obinze travels to London, hoping to start a career there. However, frustrated with the lack of opportunities, he soon returns to Nigeria. Which choice completes the text with the most logical transition? ","Choice A is the best answer. “Meanwhile” logically signals that the action described in this sentence (Obinze’s move to London to pursue a career) is simultaneous with the action described in the previous sentence (Ifemelu’s move to the United States). The first sentence establishes that the actions take place around the same time, referring to the characters’ “divergent experiences” following high school. Choice B is incorrect because “nevertheless” illogically signals that the information in this sentence about Obinze’s move to London is true despite the previous information about Ifemelu’s move to the United States. Instead, as the first sentence establishes, Obinze’s move and Ifemelu’s move are related, parallel experiences that occur around the same time. Choice C is incorrect because “secondly” illogically signals that the information in this sentence is a second point or reason separate from the previous information about Ifemelu’s move to the United States. Instead, as the first sentence establishes, Obinze’s move and Ifemelu’s move are related, parallel experiences that occur around the same time. Choice D is incorrect because “in fact” illogically signals that the information in this sentence emphasizes, modifies, or contradicts the previous information about Ifemelu’s move to the United States. Instead, as the first sentence establishes, Obinze’s move and Ifemelu’s move are related, parallel experiences that occur around the same time.",A,"{'A': 'Meanwhile,', 'B': 'Nevertheless,', 'C': 'Secondly,', 'D': 'In fact,'}"
145,pt4,Math,Advanced Math,Nonlinear functions,Advanced Math,Nonlinear functions,50,Easy,,,,,,The function $g$ is defined by $g(x) = x^2 + 9$. For which value of $x$ is $g(x) = 25$?,Choice A is correct. It's given that $g(x) = x^2 + 9$. Substituting 25 for $g(x)$ in this equation yields $25 = x^2 + 9$. Subtracting 9 from both sides of this equation yields $16 = x^2$. Taking the square root of each side of this equation yields $x = \pm 4$. It follows that $g(x) = 25$ when the value of $x$ is 4 or -4. Only 4 is listed among the choices.\n\nChoice B is incorrect and may result from conceptual or calculation errors.\n\nChoice C is incorrect and may result from conceptual or calculation errors.\n\nChoice D is incorrect and may result from conceptual or calculation errors.,A,"{'A': '4', 'B': '5', 'C': '9', 'D': '13'}"
154,pt4,Math,Advanced Math,Equivalent expressions,Advanced Math,Equivalent expressions,59,Medium,,,,,,Which expression represents the product of $(x^{-6}y^{3}z^{5})$ and $(x^{4}z^{5} + y^{8}z^{-7})$?,"Choice D is correct. The product of $x^{5}y^{2}$ and $x^{5} + y^{7}z$ can be represented by the expression $x^{5}y^{2}(x^{5} + y^{7}z)$. Applying the distributive property to this expression yields $x^{5}y^{2} \cdot x^{5} + x^{5}y^{2} \cdot y^{7}z$, or $x^{10}y^{2} + x^{5}y^{9}z^{7}$. This expression is equivalent to $x^{10}y^{2} + x^{5}y^{9}z^{7}$, or $x^{10}y^{2} + x^{5}y^{9}z^{7}$.\nChoice A is incorrect and may result from conceptual or calculation errors.\nChoice B is incorrect and may result from conceptual or calculation errors.\nChoice C is incorrect and may result from conceptual or calculation errors.",D,"{'A': '$x^{-2}z^{10} + y^{11}z^{-2}$', 'B': '$x^{-2}z^{10} + x^{-6}z^{-2}$', 'C': '$x^{-2}y^{3}z^{10} + y^{8}z^{-7}$', 'D': '$x^{-2}y^{3}z^{10} + x^{-6}y^{11}z^{-2}$'}"
161,pt4,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,66,Easy,,,$\frac{x^2}{25} = 36$,,,What is a solution to the given equation?,"Correct Answer: B \n\nRationale\n\nChoice B is correct. Multiplying the left- and right-hand sides of the given equation by 25 yields $x^2 = 900$. Taking the square root of the left- and right-hand sides of this equation yields $x = 30$ or $x = -30$. Of these two solutions, only 30 is given as a choice.\n\nChoice A is incorrect. This is a solution to the equation $x^2 = 36$.\n\nChoice C is incorrect and may result from conceptual or calculation errors.\n\nChoice D is incorrect and may result from conceptual or calculation errors.\n\nQuestion Difficulty: Easy",B,"{'A': '6', 'B': '30', 'C': '450', 'D': '900'}"
201,pt5,Reading and Writing,"Information and
Ideas",Central Ideas and Details,"Information and
Ideas",Central Ideas and Details,7,Medium,,,,,,"The painter María Izquierdo played an important role in the development of twentieth-century Mexican art, but her work has never been well-known in the United States except among art historians. One reason for Izquierdo’s relative obscurity is the enormous popularity of some of her peers. In particular, the painters Frida Kahlo and Diego Rivera have so captivated the interest of US audiences that Izquierdo and other Mexican artists from the period often get overlooked, despite the high quality of their work. Which choice best states the main idea of the text? so much of the public’s attention. frequently than paintings by Kahlo and Rivera were. than they used.","Choice A is the best answer because it most accurately states the main idea of the text. The text begins by stating that María Izquierdo was an important figure in the history of twentieth-century Mexican art, but despite her importance, her work hasn’t received widespread recognition in the United States. According to the text, one reason for this is that Frida Kahlo and Diego Rivera are so famous in the US that they overshadow other important Mexican artists, including Izquierdo. Thus, the main idea of the text is that Izquierdo’s work is less well known in the US than it should be because Kahlo and Rivera draw most of the public’s attention. Choice B is incorrect because the text doesn’t discuss the appearance of Izquierdo’s paintings in galleries in the US during her lifetime, nor does it suggest that her paintings were displayed more frequently than paintings by Kahlo or Rivera were. Instead, the text focuses on the fact that Izquierdo has been overlooked in the US because of Kahlo’s and Rivera’s greater popularity. Choice C is incorrect because the text doesn’t discuss either the subject matter of Izquierdo’s paintings or the techniques she used, nor does it compare these aspects of her paintings with those of Kahlo’s and Rivera’s paintings. Choice D is incorrect because the text doesn’t mention how many of Izquierdo’s paintings appear in galleries today, nor does it state that she produced only a small number of paintings.",A,"{'A': 'Izquierdo’s work is not as well-known in the United States as it should be because Kahlo and Rivera draw', 'B': 'During Izquierdo’s lifetime, her paintings were displayed in galleries in the United States much more', 'C': 'Izquierdo painted some of the same subjects that Kahlo and Rivera painted but used different techniques', 'D': 'Few of Izquierdo’s works are in galleries today because she produced only a small number of paintings.'}"
209,pt5,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,"Form, Structure, and Sense",15,Hard,,,,,,"Researchers studying the “terra-cotta army,” the thousands of life-size statues of warriors found interred near the tomb of Emperor Qin Shi Huang of China, were shocked to realize that the shape of each statue’s ears, like the shape of each person’s ears, ______ unique. Which choice completes the text so that it conforms to the conventions of Standard English? ",Choice B is the best answer. The convention being tested is subject–verb agreement. because the singular verb “is” agrees in number with the singular subject “the shape.” Choice A is incorrect because the plural verb “are” doesn’t agree in number with the singular subject “the shape.” Choice C is incorrect because the plural verb “were” doesn’t agree in number with the singular subject “the shape.” Choice D is incorrect because the plural verb “have been” doesn’t agree in number with the singular subject “the shape.”,B,"{'A': 'are', 'B': '\xa0is', 'C': 'were', 'D': 'have been'}"
243,pt5,Reading and Writing,Craft and Structure,Words in Context,Craft and Structure,Words in Context,49,Easy,,,,,,"Artificially delivering biomolecules to plant cells is an important component of protecting plants from pathogens, but it is diﬃcult to transmit biomolecules through the layers of the plant cell wall. Markita del Carpio Landry and her colleagues have shown that it may be possible to ______ this problem by transmitting molecules through carbon nanotubes, which can cross cell walls. Which choice completes the text with the most logical and precise word or phrase? ","Choice D is the best answer because it most logically completes the text’s discussion of delivering biomolecules to plant cells. In this context, “overcome” means to succeed in dealing with an obstacle. The text suggests that although it’s diﬃcult to move biomolecules through plant cell walls, Landry and her colleagues have shown that carbon nanotubes may be useful, since they can cross cell walls. This context conveys that Landry and her colleagues think it’s possible, using carbon nanotubes, to succeed in dealing with the obstacle of transmitting biomolecules to plant cells. Choice A is incorrect because it wouldn’t make sense in context to say that Landry and her colleagues have shown that it may be possible to “conceptualize,” or form an idea of, the diﬃculty of transmitting biomolecules through the walls of plant cells. The text presents this diﬃculty as a known problem that Landry and her colleagues think they may have solved, not as a mysterious occurrence that they have yet to form ideas about. Choice B is incorrect because the text suggests that Landry and her colleagues think it may be possible to successfully deal with the problem of transmitting biomolecules through the walls of plant cells, not that Landry and her colleagues think it may be possible to “neglect,” or simply to disregard and ignore the problem. Choice C is incorrect because it wouldn’t make sense in context to say that Landry and her colleagues have shown that it may be possible to “illustrate,” or demonstrate, the diﬃculty of transmitting biomolecules through the walls of plant cells by using carbon nanotubes. According to the text, carbon nanotubes allow molecules to be transmitted to plant cells—something that is otherwise diﬃcult to do. The text therefore presents carbon nanotubes as a way of possibly solving a problem, not as a means of demonstrating the problem.",D,"{'A': 'conceptualize', 'B': 'neglect', 'C': 'illustrate', 'D': 'overcome'}"
277,pt5,Math,Algebra,Linear equations in one or two variables,Algebra,Linear equations in one or two variables,83,Easy,,,,,,"If $x = 7$, what is the value of $x + 20$?","Choice C is correct. It's given that $x = 7$. Substituting $7$ for $x$ into the given expression $x + 20$ yields $7 + 20$, which is equivalent to $27$.\n\nChoice A is incorrect. This is the value of $x + 6$.\n\nChoice B is incorrect. This is the value of $x + 13$.\n\nChoice D is incorrect. This is the value of $x + 27$.",C,"{'A': '13', 'B': '20', 'C': '27', 'D': '34'}"
309,pt2,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,"Form, Structure, and Sense",18,Medium,,,,,,"In 1930, Japanese American artist Chiura Obata depicted the natural beauty of Yosemite National Park in two memorable woodcuts: Evening at Carl Inn and Lake Basin in the High Sierra. In 2019, ______ exhibited alongside 150 of Obata’s other works in a single-artist show at the Smithsonian American Art Museum. Which choice completes the text so that it conforms to the conventions of Standard English? ",Choice B is the best answer. The convention being tested is pronoun–antecedent agreement. The plural pronoun “they” agrees in number with the plural antecedent “woodcuts” and clearly identifies what was exhibited at the Smithsonian American Art Museum. Choice A is incorrect because the singular pronoun “it” doesn’t agree in number with the plural antecedent “woodcuts.” Choice C is incorrect because the singular pronoun “this” doesn’t agree in number with the plural antecedent “woodcuts.” Choice D is incorrect because the plural pronoun “some” is illogical in this context (referring to “some” of two woodcuts).,B,"{'A': 'it was', 'B': 'they were', 'C': 'this was', 'D': 'some were'}"
341,pt2,Math,Advanced Math,Equivalent expressions,Advanced Math,Equivalent expressions,50,Easy,,,,,,Which expression is equivalent to $12x + 27$?,"Choice C is correct. Each term in the given expression, $12x + 27$, has a common factor of 3. Therefore, the expression can be rewritten as $3(4x + 9)$, or $3(4x + 9)$. Thus, the expression $3(4x + 9)$ is equivalent to the given expression.\n\nChoice A is incorrect. This expression is equivalent to $108x + 12$, not $12x + 27$.\n\nChoice B is incorrect. This expression is equivalent to $324x + 27$, not $12x + 27$.\n\nChoice D is incorrect. This expression is equivalent to $27x + 72$, not $12x + 27$.\n\nQuestion Difficulty: Easy",C,"{'A': '$12(9x + 1)$', 'B': '$27(12x + 1)$', 'C': '$3(4x + 9)$', 'D': '$3(9x + 24)$'}"
357,pt2,Math,"Problem-Solving
and Data Analysis",Two-variable data: Models and scatterplots,"Problem-Solving
and Data Analysis",Two-variable data: Models and scatterplots,66,,,,,,,"Each year, the value of an investment increases by $0.49\%$ of its value the previous year. Which of the following functions best models how the value of the investment changes over time?","Choice C is correct. Because the value of the investment increases each year, the function that best models how the value of the investment changes over time is an increasing function. It's given that each year, the value of the investment increases by $0.49\%$ of its value the previous year. Since the value of the investment changes by a fixed percentage each year, the function that best models how the value of the investment changes over time is an exponential function. Therefore, the function that best models how the value of the investment changes over time is an increasing exponential function.

Choice A is incorrect and may result from conceptual errors.

Choice B is incorrect and may result from conceptual errors.

Choice D is incorrect and may result from conceptual errors.",C,"{'A': 'Decreasing exponential', 'B': 'Decreasing linear', 'C': 'Increasing exponential', 'D': 'Increasing linear'}"
388,pt2,Math,Algebra,Systems of two linear equations in two variables,Algebra,Systems of two linear equations in two variables,97,,,,\frac{3}{2}y - \frac{1}{2}x = \frac{2}{3} - \frac{3}{2}y \quad\text{and}\quad \frac{1}{2}x + \frac{2}{3} = p\left(y + \frac{3}{2}y\right),,,"In the given system of equations, $p$ is a constant. If the system has no solution, what is the value of $p$?","The correct answer is 6. A system of two linear equations in two variables, $x$ and $y$, has no solution if the lines represented by the equations in the $xy$-plane are parallel and distinct. Lines represented by equations in standard form, $Ax + By = C$ and $Dx + Ey = F$, are parallel if the coefficients for $x$ and $y$ in one equation are proportional to the corresponding coefficients in the other equation, meaning $\frac{A}{D} = \frac{B}{E}$ and the lines are distinct if the constants are not proportional, meaning $\frac{C}{F}$ is not equal to $\frac{A}{D}$ or $\frac{B}{E}$. The first equation in the given system is $\frac{3}{2}y - \frac{1}{2}x = \frac{2}{3} - \frac{3}{2}y$. Multiplying each side of this equation by 2 yields $18y - 3x = 8 - 18y$. Adding 18 to each side of this equation yields $36y - 3x = 8$, or $-3x + 36y = 8$. The second equation in the given system is $\frac{1}{2}x + \frac{2}{3} = p\left(y + \frac{3}{2}y\right)$. Multiplying each side of this equation by 2 yields $x + 3p = 2y + 9p$. Subtracting 2p from each side of this equation yields $x + p = 2y + 9p$. Subtracting 3 from each side of this equation yields $x - 2py = 6$. Therefore, the two equations in the given system, written in standard form, are $-3x + 36y = 8$ and $x - 2py = 6$. As previously stated, if this system has no solution, the lines represented by the equations in the $xy$-plane are parallel and distinct, meaning the proportion $\frac{-3}{1} = \frac{36}{-2p}$ is true and the proportion $\frac{8}{6}$ is not true. The proportion $\frac{-3}{1} = \frac{36}{-2p}$ is true. Multiplying each side of the true proportion, $\frac{-3}{1} = \frac{36}{-2p}$, by $-18$ yields 6 $= p$. Therefore, if the system has no solution, the value of $p$ is 6.",6,
468,pt7,Math,Algebra,Linear equations in one or two variables,Algebra,Linear equations in one or two variables,80,Medium,,,,,,"A number $x$ is at most 17 less than 5 times the value of $y$. If the value of $y$ is 3, what is the greatest possible value of $x$?","The correct answer is $-2$. It's given that a number $x$ is at most 17 less than 5 times the value of $y$, or $x \leq 5y - 17$. Substituting 3 for $y$ in this inequality yields $x \leq 5 \times 3 - 17$, or $x \leq -2$. Thus, if the value of $y$ is 3, the greatest possible value of $x$ is $-2$.",-2,
458,pt7,Math,"Geometry and
Trigonometry",Area and volume,"Geometry and
Trigonometry",Area and volume,70,Easy,,,,,,"The side length of a square is 55 centimeters (cm). What is the area, in $cm^2$, of the square?","Choice C is correct. The area $A$, in square centimeters ($cm^2$), of a square with side length $s$, in cm, is given by the formula $A = s^2$. It's given that the square has a side length of 55 cm. Substituting 55 for $s$ in the formula $A = s^2$ yields $A = 55^2$ or $A = 3,025$. Therefore, the area, in $cm^2$, of the square is 3,025.\n\nChoice A is incorrect and may result from conceptual or calculation errors.\n\nChoice B is incorrect. This is the perimeter, in cm, of the square, not its area, in $cm^2$.\n\nChoice D is incorrect and may result from conceptual or calculation errors.\n\nQuestion Difficulty: Easy",C,"{'A': '110', 'B': '220', 'C': '3,025', 'D': '12,100'}"
469,pt7,Math,Algebra,Linear functions,Algebra,Linear functions,81,Medium,,,,,"{'rows': [{'$x$': '0', '$f(x)$': '0'}, {'$x$': '1', '$f(x)$': '0'}, {'$x$': '2', '$f(x)$': '0'}], 'headers': ['$x$', '$f(x)$']}","For the given linear function $f$, which table gives three values of $x$ and their corresponding values of $f(x)$? $f(x) = 39$","Choice B is correct. For the given linear function $f$, $f(x)$ must equal $39$ for all values of $x$. Of the given choices, only choice B gives three values of $x$ and their corresponding values of $f(x)$ for the given linear function $f$.\n\nChoice A is incorrect and may result from conceptual errors.",B,
480,pt7,Math,"Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units","Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units",92,Medium,,,,,,How many tablespoons are equivalent to 14 teaspoons? (3 teaspoons = 1 tablespoon),"The correct answer is $\frac{14}{3}$. It's given that 3 teaspoons is equivalent to 1 tablespoon. Therefore, 14 teaspoons is equivalent to $\frac{14}{3}$ tablespoons. Note that 14/3, 4.666, and 4.667 are examples of ways to enter a correct answer.","14/3, 4.666, 4.667",
488,pt9,Reading and Writing,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,4,Easy,,,,,,"Generations of mystery and horror ______ have been inﬂuenced by the dark, gothic stories of celebrated American author Edgar Allan Poe (1809–1849). Which choice completes the text so that it conforms to the conventions of Standard English? ","Choice A is the best answer. The convention being tested is punctuation between a subject and a verb. When, as in this case, a subject (“Generations of mystery and horror writers”) is immediately followed by a verb (“have been inﬂuenced”), no punctuation is needed. Choice B is incorrect because no punctuation is needed between the subject and the verb. Choice C is incorrect because no punctuation is needed between the subject and the verb. Choice D is incorrect because no punctuation is needed between the subject and the verb.",A,"{'A': 'writers', 'B': 'writers,', 'C': 'writers—', 'D': 'writers;'}"
545,pt9,Math,Advanced Math,Equivalent expressions,Advanced Math,Equivalent expressions,61,Easy,,,,,,Which expression is equivalent to $5a^2 - 50a^2y^2$?,"Choice A is correct. Since each term of the given expression has a factor of 5x, it can be rewritten as $5xx - 5x10y^2$, or $5x(x - 10y^2)$.\n\nChoice B is incorrect and may result from conceptual or calculation errors.\n\nChoice C is incorrect and may result from conceptual or calculation errors.\n\nChoice D is incorrect and may result from conceptual or calculation errors.",A,"{'A': '$5a(x - 10y^2)$', 'B': '$5a(x - 50y^2)$', 'C': '$5a^2(10xy^2)$', 'D': '$5a^2(50xy^2)$'}"
602,pt10,Reading and Writing,Craft and Structure,Words in Context,Craft and Structure,Words in Context,20,Easy,,,,,,"Charles “Teenie” Harris was a photographer for the Pittsburgh Courier from 1936 to 1975. During his career he took over 70,000 photographs documenting everyday life in Pittsburgh’s Black communities. The Carnegie Museum of Art maintains thousands of his photographs, carefully ______ them so that audiences can continue to view them well into the future. Which choice completes the text with the most logical and precise word or phrase? ","Choice C is the best answer. ""Preserving"" means ""maintaining"" or ""keeping in good condition,"" so preserving the photographs means that audiences should be able to view them for a long time. Choice A is incorrect. ""Replacing"" means ""putting something new in place of"" the photographs. Replacing the photos will make it so that audiences can’t view them at all. Choice B is incorrect. ""Inventing"" means ""creating a new idea, process, or thing."" The museum can’t invent photographs that already exist. Choice D is incorrect. Counting the photographs will not help audiences view them well into the future.",C,"{'A': 'replacing', 'B': 'inventing', 'C': 'preserving', 'D': 'counting'}"
653,pt10,Math,"Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units","Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units",71,Medium,,,,,,A distance of 112 furlongs is equivalent to how many feet? (1 furlong = 220 yards and 1 yard = 3 feet),"The correct answer is 73,920. It's given that 1 furlong = 220 yards and 1 yard = 3 feet. It follows that a distance of 112 furlongs is equivalent to 112 \times \frac{220 \text{ yards}}{1 \text{ furlong}} \times \frac{3 \text{ feet}}{1 \text{ yard}} or 73,920 feet.",73920,
